BrandId,BrandName,Brand,Name,ProductName,Bloomberg Ticker,Category2Id,Category2Name,SalesUnit,SalesValue
4222667,Annil/安奈儿,Annil/安奈儿,安奈儿,Annil,002875 CH EQUITY,54690001,婴幼裤子,4977,563304.0
44610,St&amp;Sat/星期六,ST&SAT/星期六,星期六,Saturday Co,002291 CH EQUITY,54304826,深口鞋,1530,722096.0
44610,St&amp;Sat/星期六,ST&SAT/星期六,星期六,Saturday Co,002291 CH EQUITY,54304827,长靴,73,67277.0
44610,St&amp;Sat/星期六,ST&SAT/星期六,星期六,Saturday Co,002291 CH EQUITY,54304823,短靴,939,464817.0
44610,St&amp;Sat/星期六,ST&SAT/星期六,星期六,Saturday Co,002291 CH EQUITY,54304820,单鞋,7969,3603115.0
44610,St&amp;Sat/星期六,ST&SAT/星期六,星期六,Saturday Co,002291 CH EQUITY,54304821,凉鞋,1843,649581.0
44610,St&amp;Sat/星期六,ST&SAT/星期六,星期六,Saturday Co,002291 CH EQUITY,54304828,浅口鞋,3643,1700045.0
44610,St&amp;Sat/星期六,ST&SAT/星期六,星期六,Saturday Co,002291 CH EQUITY,54304829,雪地靴,9,2161.0
4339427,雷氏,雷氏,雷氏,Shanghai Pharmacy,601607 CH EQUITY,53382010,肠胃用药,550,8370.0
30558,唐宋,唐宋,唐宋,Shaoxing Wine,601579 CH EQUITY,54308343,黄酒,807,90116.0
3472186,茶花,Chahua/茶花,茶花,Chahua,603615 CH EQUITY,54302591,足浴桶/足浴盐,485,27123.300000000003
29504,Meters Bonwe/美特斯邦威,Meters Bonwe/美特斯邦威,美特斯邦威,Metersbonwe,002269 CH EQUITY,56516007,短款羽绒,2336,721185.6000000002
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,50350007,防辐射,12,2696.0
3472186,茶花,Chahua/茶花,茶花,Chahua,603615 CH EQUITY,54292659,居家日用/收纳/洗晒工具,194168,6453014.300000005
50359350,REBACCA/瑞贝卡,Rebecca/瑞贝卡,瑞贝卡,Rebecca,600439 CH EQUITY,54304857,婚鞋,36,9273.0
30652,Midea/美的,Midea/美的,美的,Midea,000333 CH EQUITY,54312970,面包机,8119,2873331.0
30641,Changhong/长虹,Changhong/长虹,长虹,Changhong,600839 CH EQUITY,50025275,多媒体音箱,18,2982.0
4139249,JUZUI/玖姿,JUZUI/玖姿,玖姿,Anzheng Fashion,603839 CH EQUITY,54290108,小西装,110,77967.0
30652,Midea/美的,Midea/美的,美的,Midea,000333 CH EQUITY,54312975,电饼铛/烤饼机,73003,11158907.0
30652,Midea/美的,Midea/美的,美的,Midea,000333 CH EQUITY,54312977,其它厨房家电,21452,4387910.6
44618,REDDRAGONFLY/红蜻蜓,RED DRAGONFLY/红蜻蜓,红蜻蜓,Red Dragonfly,603116 CH EQUITY,54298795,正装皮鞋,6,1614.0
10858,TCL,TCL,TCL,TCL Group,000100 CH EQUITY,50918011,咖啡机,0,0.0
3608746,三雄极光,PAK/三雄极光,三雄极光,PAK,300625 CH EQUITY,54312042,光源,28741,645877.2999999999
10858,TCL,TCL,TCL,TCL Group,000100 CH EQUITY,50918013,其它生活家电,6,6.0
48481339,Hodo/红豆,Hodo/红豆,红豆,Hongdo,600400 CH EQUITY,54290469,羽绒服,871,182650.5
3364141,HIKVISION/海康威视,Hikvision/海康威视,海康威视,Hikvision,002415 CH EQUITY,50069234,监控器材及系统,19658,22606503.5
29517,Saint Angelo/报喜鸟,SAINT ANGELO/报喜鸟,报喜鸟,Baoxiniao,002154 CH EQUITY,56558001,秋冬精选,15,5235.0
57152812,Hodohome/红豆居家,红豆居家,红豆居家,Hongdo,600400 CH EQUITY,55006009,运动文胸,60,3767.9999999999995
10625456,LANCY FROM 25/朗姿,Lancy/朗姿,朗姿,Lancy,002612 CH EQUITY,54290502,针织衫,1333,634261.0
21929,HYUNDAI/现代,HYUNDAI/现代,现代,Konka,000016 CH EQUITY,54298153,暖风机/取暖器,13,897.0
21929,HYUNDAI/现代,HYUNDAI/现代,现代,Konka,000016 CH EQUITY,54298151,空气净化/氧吧,64,87434.0
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,55144002,坐垫/椅垫,95,2681.9
21929,HYUNDAI/现代,HYUNDAI/现代,现代,Konka,000016 CH EQUITY,54298157,加湿器,269,24601.0
21929,HYUNDAI/现代,HYUNDAI/现代,现代,Konka,000016 CH EQUITY,54298154,抽湿器,129,11481.0
21929,HYUNDAI/现代,HYUNDAI/现代,现代,Konka,000016 CH EQUITY,54298155,挂烫机,6523,1854784.0
139317,Safiya/索菲娅,SAFIYA/索菲娅,索菲娅,Saturday Co,002291 CH EQUITY,50106432,内增高,150,44280.0
21929,HYUNDAI/现代,HYUNDAI/现代,现代,Konka,000016 CH EQUITY,54298158,电熨斗,133,12809.0
29517,Saint Angelo/报喜鸟,SAINT ANGELO/报喜鸟,报喜鸟,Baoxiniao,002154 CH EQUITY,50074112,西服套装,591,1286544.0
30148,Wanlima/万里马,Wanlima/万里马,万里马,Wanlima,300591 CH EQUITY,55722012,商场同款,8,7928.0
29531,Youngor/雅戈尔,Youngor/雅戈尔,雅戈尔,Youngor,600177 CH EQUITY,53226004,格子衬衫,2278,711240.0
4540378,cover/卡文,COVER/卡文,卡文,Harson Trading,603958 CH EQUITY,50350020,鱼嘴单鞋,3,887.0
66878525,Whirlpool/惠而浦,Whirlpool/惠而浦,惠而浦,Whirlpool China,600983 CH EQUITY,50918004,冰箱,177,597023.0
66878525,Whirlpool/惠而浦,Whirlpool/惠而浦,惠而浦,Whirlpool China,600983 CH EQUITY,50918005,洗衣机,725,2123975.0
119861624,HLA/海澜之家,HLA/海澜之家,海澜之家,Heilan,600398 CH EQUITY,54308098,袜子/内衣配件,1480,37847.0
3472186,茶花,Chahua/茶花,茶花,Chahua,603615 CH EQUITY,50072232,一次性餐桌用品,27478,342217.50000000006
4536992,古越龙山,古越龙山,古越龙山,Guyuelongshan,600059 CH EQUITY,54308343,黄酒,30955,2564472.4699999983
11016,Haier/海尔,Haier/海尔,海尔,Haier,600690 CH EQUITY,50025308,机箱,0,0.0
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,50108599,毛衣,1075,262852.0
122548931,金一,King one/金一,金一,Kingee Culture,002721 CH EQUITY,50100886,铂金对戒,0,0.0
31192574,BanBao/邦宝,Banbao/邦宝,邦宝,Banbao,603398 CH EQUITY,54306465,过家家玩具,619,37140.0
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,54980014,棉袜,909558,26878015.099999998
110291,通化,TONHWA/通化,通化,Tonghua Grape Wine,600365 CH EQUITY,54292357,饮料/酒水/冲饮,7649,332557.4
80884,多喜爱,Dohia/多喜爱,多喜爱,Dohia home,002761 CH EQUITY,50024931,枕头/枕芯,6793,707381.0
45541,KUKa/顾家家居,Kuka Home/顾家家居,顾家家居,Jason Furniture,603816 CH EQUITY,50096397,餐厅,914,3344754.0
4222667,Annil/安奈儿,Annil/安奈儿,安奈儿,Annil,002875 CH EQUITY,54680001,婴幼外套/夹克,820,198621.0
80884,多喜爱,Dohia/多喜爱,多喜爱,Dohia home,002761 CH EQUITY,50024935,儿童床品,707,206211.0
22083,Netac/朗科,Netac/朗科,朗科,Netac,300042 CH EQUITY,54300121,移动硬盘,1558,588125.0
45467,Kaiser/凯撒,KAISER/凯撒,凯撒,Kaiser,002425 CH EQUITY,54294360,链条包,1,499.0
45467,Kaiser/凯撒,KAISER/凯撒,凯撒,Kaiser,002425 CH EQUITY,54294361,铆钉包,3,1017.0
29531,Youngor/雅戈尔,Youngor/雅戈尔,雅戈尔,Youngor,600177 CH EQUITY,54288360,丝光T恤,187,56681.0
66878525,Whirlpool/惠而浦,Whirlpool/惠而浦,惠而浦,Whirlpool China,600983 CH EQUITY,54302507,电动榨汁机,85,36730.0
4486287,SLEEMON/喜临门,Sleemon/喜临门,喜临门,Sleemon,603008 CH EQUITY,50036057,家具辅料,1,299.0
33465,LABI BABY/拉比,LABI BABY/拉比,拉比,Labi,002762 CH EQUITY,54988013,学步鞋,2,332.0
3472186,茶花,Chahua/茶花,茶花,Chahua,603615 CH EQUITY,54294733,纸巾盒/纸巾架/纸巾套,5835,66755.5
4519643,得利斯,Delisi/得利斯,得利斯,Delisi,002330 CH EQUITY,55076007,肉类,1943,212874.80000000002
30844,SUPOR/苏泊尔,Supor/苏泊尔,苏泊尔,supor,002032 CH EQUITY,50030215,厨房装修,3164,1083037.0
3472186,茶花,Chahua/茶花,茶花,Chahua,603615 CH EQUITY,54294737,购物篮/提菜器,7,279.3
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,54288278,羽绒裤,233,49435.0
1053872529,BFTV/暴风TV,BFTV/暴风TV,暴风TV,BAOFENG,300431 CH EQUITY,50916002,大家电配件,65,578.0
3472186,茶花,Chahua/茶花,茶花,Chahua,603615 CH EQUITY,54294739,整理小工具,45664,428632.39999999997
